39120	39168	4	46	913095	2	855	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
714507	714555	20	635	882789	18	800	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
714507	714555	20	635	882789	18	800	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
719236	719288	20	638	886185	18	803	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
719236	719288	20	638	886185	18	803	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
719236	719288	20	638	887466	18	805	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
719236	719288	20	638	887466	18	805	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
725049	725059	20	649	886923	18	804	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
725049	725059	20	649	886923	18	804	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
726063	726078	20	650	886185	18	803	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
726063	726078	20	650	886185	18	803	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
726063	726078	20	650	887466	18	805	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f	0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
726063	726078	20	650	887466	18	805	0x7a250d5630b4cf539739df2c5dacb4c659f2488d	0x7a250d5630b4cf539739df2c5dacb4c659f2488d
